fail01,修改28,lee123456763,lee123,,,,28,,SUSU公司入款,500,中国光大银行,提现金额：,,lee6,,,,,,lee123,lee456,lee12,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改29,lee123456763,lee123,,,,29,,SUSU公司入款,500,兴业银行,提现金额：,,lee7,,,,,,lee123,lee456,aaa12,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改30,lee123456763,lee123,,,,30,,SUSU公司入款,500,中国银行,提现金额：,,,,,,,,lee123,lee456,aaa__,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改31,lee123456763,lee123,,,,31,,SUSU公司入款,500,江苏银行-123,提现金额：,,,,,,,,lee123,lee456,__12,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改32,lee123456763,lee123,,,,32,,SUSU公司入款,500,恒丰银行,提现金额：,,,,,,,,lee123,123456,123456,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改33,lee123456763,lee123,,,,33,,SUSU公司入款,800,中国工商银行_susu,提现金额：,,,,,,,,lee123,123456,aaaaaa,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改34,lee123456763,lee123,,,,34,,SUSU公司入款,800,中国工商银行我测试啊,提现金额：,,,,,,,,lee123,123456,______,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改35,lee123456763,lee123,,,,35,,SUSU公司入款,800,中国工商银行李洁,提现金额：,,,,,,,,lee123,aaaaaa,123456,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改36,lee123456763,lee123,,,,36,,SUSU公司入款,800,中国光大银行,提现金额：,,,,,,,,lee123,______,aaaaaa,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改37,lee123456763,lee123,,,,37,,SUSU公司入款,800,兴业银行,提现金额：,,,,,,,,lee12,lee123,lee123,密码长度6位以上，由数字、字母、下划线混合组成,
fail01,修改38,lee123456763,lee123,,,,38,,SUSU公司入款,800,中国银行,提现金额：,,,,,,,,lee123,a123456,a123456,您设置的密码过于简单，请重新设置！,
fail01,修改39,lee123456763,lee123,,,,39,,SUSU公司入款,800,江苏银行-123,提现金额：,,,,,,,,lee1234,lee123,lee123,原密码不正确,
fail01,修改40,lee123456763,lee123,,,,40,,SUSU公司入款,800,恒丰银行,提现金额：,,,,,,,,lee1234,lee123,lee456789,两次输入的新密码不一致,
fail01,修改41,lee123456763,lee123,,,,41,,SUSU公司入款,1000,中国工商银行_susu,提现金额：,,,,,,,,lee1234,lee123456,lee456,两次输入的新密码不一致,
fail01,修改42,lee123456763,lee123,,,,42,,SUSU公司入款,1000,中国工商银行我测试啊,提现金额：,,,,,,,,lee12,lee123,lee456,两次输入的新密码不一致,
fail01,修改43,lee123456763,lee123,,,,43,,SUSU公司入款,1000,中国工商银行李洁,提现金额：,,,,,,,,lee___,lee123,lee456,两次输入的新密码不一致,
fail01,修改44,lee123456763,lee123,,,,44,,SUSU公司入款,1000,中国光大银行,提现金额：,,,,,,,,lee___,lee123,lee123,原密码不正确,
fail01,修改45,lee123456763,lee123,,,,45,,SUSU公司入款,1000,兴业银行,提现金额：,,,,,,,,lee134,lee123456,lee123456,原密码不正确,
fail01,修改46,lee123456763,lee123,,,,46,,SUSU公司入款,1000,中国银行,提现金额：,,,,,,,,######,lee123,lee123,旧密码不能为空,
fail13,修改47,lee123456763,lee123,,,,47,,SUSU公司入款,1000,江苏银行-123,提现金额：,,,,,,,,,,,,
fail14,修改48,lee123456763,lee123,,,,48,,SUSU公司入款,1000,恒丰银行,提现金额：,,,,,,,,,,,,
fail15,修改49,lee123456763,lee123,,,,49,,SUSU公司入款,2000,中国工商银行_susu,提现金额：,,,,,,,,,,,,
fail16,修改50,lee123456763,lee123,,,,50,,SUSU公司入款,2000,中国工商银行我测试啊,提现金额：,,,,,,,,,,,,
fail17,修改51,lee123456763,lee123,,,,51,,SUSU公司入款,2000,中国工商银行李洁,提现金额：,,,,,,,,,,,,
fail18,修改52,lee123456763,lee123,,,,52,,SUSU公司入款,2000,中国光大银行,提现金额：,,,,,,,,,,,,
fail19,修改53,lee123456763,lee123,,,,53,,SUSU公司入款,2000,兴业银行,提现金额：,,,,,,,,,,,,
fail20,修改54,lee123456763,lee123,,,,54,,SUSU公司入款,2000,中国银行,提现金额：,,,,,,,,,,,,
fail21,修改55,lee123456763,lee123,,,,55,,SUSU公司入款,2000,江苏银行-123,提现金额：,,,,,,,,,,,,
fail22,修改56,lee123456763,lee123,,,,56,,SUSU公司入款,2000,恒丰银行,提现金额：,,,,,,,,,,,,
fail23,修改57,lee123456763,lee123,,,,57,,SUSU公司入款,3000,中国工商银行_susu,提现金额：,,,,,,,,,,,,
fail24,修改58,lee123456763,lee123,,,,58,,SUSU公司入款,3000,中国工商银行我测试啊,提现金额：,,,,,,,,,,,,
fail25,修改59,lee123456763,lee123,,,,59,,SUSU公司入款,3000,中国工商银行李洁,提现金额：,,,,,,,,,,,,
fail26,修改60,lee123456763,lee123,,,,60,,SUSU公司入款,3000,中国光大银行,提现金额：,,,,,,,,,,,,
fail27,修改61,lee123456763,lee123,,,,61,,SUSU公司入款,3000,兴业银行,提现金额：,,,,,,,,,,,,
fail28,修改62,lee123456763,lee123,,,,62,,SUSU公司入款,3000,中国银行,提现金额：,,,,,,,,,,,,
fail29,修改63,lee123456763,lee123,,,,63,,SUSU公司入款,3000,江苏银行-123,提现金额：,,,,,,,,,,,,
fail30,修改64,lee123456763,lee123,,,,64,,SUSU公司入款,3000,恒丰银行,提现金额：,,,,,,,,,,,,
,修改65,,,,,,,,,,,,,,,,,,,,,,,
msg,修改66,username,password,email,tjid,qq,yzm,,pymethod,susuamount,rechargemethod,tips01,depoisttime,depoistname,depoistamount,withdraw,fundpassword,,,oldpassword,newpassword,newpassword1,tips,
succ01,登陆密码修改6位字母数字组合,lee123456763,lee123,,,,27,,SUSU公司入款,500,中国工商银行李洁,提现金额：,,lee5,,,,,,lee123,lee456,lee456,修改成功！,
succ01,登陆密码修改字母下划线数字组合,,,,,,,,,,,,,,,,,,,lee456,lee___123,lee___123,修改成功！,
succ01,登陆密码恢复循环初始数据,,,,,,,,,,,,,,,,,,,lee___123,lee123,lee123,修改成功！,
succ01,登陆密码修改为原密码一样的,,,,,,,,,,,,,,,,,,,lee123,lee123,lee123,修改成功！,
succ01,测试异常,,,,,,,,,,,,,,,,,,,lee123,1,1,修改成功！,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,lee___,___123,___123,修改成功！,
,,,,,,,,,,,,,,,,,,,,___123,lee123456,lee123456,修改成功！,
,,,,,,,,,,,,,,,,,,,,lee123456,lee123,lee123,修改成功！,
