fail01,lee123456789,lee123,,,,16,,SUSU公司入款,100,恒丰银行,提现金额：,,lee2,,,,,123456,123456,1234567,两次密码不一致！,两次输入密码不一样
fail01,lee123456789,lee123,,,,17,,SUSU公司入款,300,中国工商银行_susu,提现金额：,,lee1,,,,,123456,123456,111111,两次密码不一致！,原密码不正确
fail01,lee123456789,lee123,,,,18,,SUSU公司入款,300,中国工商银行我测试啊,提现金额：,,lee2,,,,,123456,111111,123456,两次密码不一致！,修改成功
fail01,lee123456789,lee123,,,,19,,SUSU公司入款,300,中国工商银行李洁,提现金额：,,lee3,,,,,123456,,@@@@#$%,两次密码不一致！,
fail01,lee123456789,lee123,,,,20,,SUSU公司入款,300,中国光大银行,提现金额：,,lee4,,,,,123456,,12345679,两次密码不一致！,
fail01,lee123456789,lee123,,,,21,,SUSU公司入款,300,兴业银行,提现金额：,,lee5,,,,,123456,,123456,两次密码不一致！,
fail01,lee123456789,lee123,,,,22,,SUSU公司入款,300,中国银行,提现金额：,,lee6,,,,,123456,@@@@#$%,12345679,两次密码不一致！,
fail01,lee123456789,lee123,,,,23,,SUSU公司入款,300,江苏银行-123,提现金额：,,lee1,,,,,123456,@@@@#$%,123456,两次密码不一致！,
fail01,lee123456789,lee123,,,,24,,SUSU公司入款,300,恒丰银行,提现金额：,,lee2,,,,,123456,@@@@#$%,,两次密码不一致！,
fail01,lee123456789,lee123,,,,25,,SUSU公司入款,500,中国工商银行_susu,提现金额：,,lee3,,,,,123456,@@@@#$%,@@@@#$%,新资金密码长度为6位数字,
fail01,lee123456789,lee123,,,,26,,SUSU公司入款,500,中国工商银行我测试啊,提现金额：,,lee4,,,,,123456,123456@,1234567,两次密码不一致！,
fail01,lee123456789,lee123,,,,27,,SUSU公司入款,500,中国工商银行李洁,提现金额：,,lee5,,,,,444444,123456,123456,旧资金密码错误,
fail01,lee123456789,lee123,,,,28,,SUSU公司入款,500,中国光大银行,提现金额：,,lee6,,,,,123456,12345@,123456,旧资金密码错误,
fail01,lee123456789,lee123,,,,29,,SUSU公司入款,500,兴业银行,提现金额：,,lee7,,,,,,,,,
fail02,lee123456789,lee123,,,,30,,SUSU公司入款,500,中国银行,提现金额：,,,,,,,,,,,
fail03,lee123456789,lee123,,,,31,,SUSU公司入款,500,江苏银行-123,提现金额：,,,,,,,,,,,
fail04,lee123456789,lee123,,,,32,,SUSU公司入款,500,恒丰银行,提现金额：,,,,,,,,,,,
fail05,lee123456789,lee123,,,,33,,SUSU公司入款,800,中国工商银行_susu,提现金额：,,,,,,,,,,,
fail06,lee123456789,lee123,,,,34,,SUSU公司入款,800,中国工商银行我测试啊,提现金额：,,,,,,,,,,,
fail07,lee123456789,lee123,,,,35,,SUSU公司入款,800,中国工商银行李洁,提现金额：,,,,,,,,,,,
fail08,lee123456789,lee123,,,,36,,SUSU公司入款,800,中国光大银行,提现金额：,,,,,,,,,,,
fail09,lee123456789,lee123,,,,37,,SUSU公司入款,800,兴业银行,提现金额：,,,,,,,,,,,
fail10,lee123456789,lee123,,,,38,,SUSU公司入款,800,中国银行,提现金额：,,,,,,,,,,,
fail11,lee123456789,lee123,,,,39,,SUSU公司入款,800,江苏银行-123,提现金额：,,,,,,,,,,,
fail12,lee123456789,lee123,,,,40,,SUSU公司入款,800,恒丰银行,提现金额：,,,,,,,,,,,
fail13,lee123456789,lee123,,,,41,,SUSU公司入款,1000,中国工商银行_susu,提现金额：,,,,,,,,,,,
fail14,lee123456789,lee123,,,,42,,SUSU公司入款,1000,中国工商银行我测试啊,提现金额：,,,,,,,,,,,
fail15,lee123456789,lee123,,,,43,,SUSU公司入款,1000,中国工商银行李洁,提现金额：,,,,,,,,,,,
fail16,lee123456789,lee123,,,,44,,SUSU公司入款,1000,中国光大银行,提现金额：,,,,,,,,,,,
fail17,lee123456789,lee123,,,,45,,SUSU公司入款,1000,兴业银行,提现金额：,,,,,,,,,,,
fail18,lee123456789,lee123,,,,46,,SUSU公司入款,1000,中国银行,提现金额：,,,,,,,,,,,
fail19,lee123456789,lee123,,,,47,,SUSU公司入款,1000,江苏银行-123,提现金额：,,,,,,,,,,,
fail20,lee123456789,lee123,,,,48,,SUSU公司入款,1000,恒丰银行,提现金额：,,,,,,,,,,,
fail21,lee123456789,lee123,,,,49,,SUSU公司入款,2000,中国工商银行_susu,提现金额：,,,,,,,,,,,
fail22,lee123456789,lee123,,,,50,,SUSU公司入款,2000,中国工商银行我测试啊,提现金额：,,,,,,,,,,,
fail23,lee123456789,lee123,,,,51,,SUSU公司入款,2000,中国工商银行李洁,提现金额：,,,,,,,,,,,
fail24,lee123456789,lee123,,,,52,,SUSU公司入款,2000,中国光大银行,提现金额：,,,,,,,,,,,
fail25,lee123456789,lee123,,,,53,,SUSU公司入款,2000,兴业银行,提现金额：,,,,,,,,,,,
fail26,lee123456789,lee123,,,,54,,SUSU公司入款,2000,中国银行,提现金额：,,,,,,,,,,,
fail27,lee123456789,lee123,,,,55,,SUSU公司入款,2000,江苏银行-123,提现金额：,,,,,,,,,,,
fail28,lee123456789,lee123,,,,56,,SUSU公司入款,2000,恒丰银行,提现金额：,,,,,,,,,,,
fail29,lee123456789,lee123,,,,57,,SUSU公司入款,3000,中国工商银行_susu,提现金额：,,,,,,,,,,,
fail30,lee123456789,lee123,,,,58,,SUSU公司入款,3000,中国工商银行我测试啊,提现金额：,,,,,,,,,,,
fail31,lee123456789,lee123,,,,59,,SUSU公司入款,3000,中国工商银行李洁,提现金额：,,,,,,,,,,,
fail32,lee123456789,lee123,,,,60,,SUSU公司入款,3000,中国光大银行,提现金额：,,,,,,,,,,,
fail33,lee123456789,lee123,,,,61,,SUSU公司入款,3000,兴业银行,提现金额：,,,,,,,,,,,
fail34,lee123456789,lee123,,,,62,,SUSU公司入款,3000,中国银行,提现金额：,,,,,,,,,,,
fail35,lee123456789,lee123,,,,63,,SUSU公司入款,3000,江苏银行-123,提现金额：,,,,,,,,,,,
fail36,lee123456789,lee123,,,,64,,SUSU公司入款,3000,恒丰银行,提现金额：,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
msg,username,password,email,tjid,qq,yzm,,pymethod,susuamount,rechargemethod,tips01,depoisttime,depoistname,depoistamount,withdraw,fundpassword,,nowfund,newfund,agentfund,tips,
succ01,lee123456789,lee123,,,,64,,SUSU公司入款,3000,恒丰银行,提现金额：,,,,,,,123456,123456,123456,修改成功！,
succ01,,,,,,,,,,,,,,,,,,123456,111111,111111,修改成功！,
succ01,,,,,,,,,,,,,,,,,,111111,123456,123456,修改成功！,
