msg,username,password,email,tjid,qq,yzm,,twosides,money,bet_methods,xiugai,tips,tips01,tips02
succ25,lee123456789,lee123,,,,25,,特双,,,0,请登录,请先添加投注内容,下注成功
succ26,lee123456789,lee123,,,,26,,特双,,,0,请登录,请先添加投注内容,下注成功
succ27,lee123456789,lee123,,,,27,,特双,,,0,请登录,请先添加投注内容,下注成功
succ28,lee123456789,lee123,,,,28,,特双,,,0,请登录,请先添加投注内容,下注成功
succ29,lee123456789,lee123,,,,29,,特双,,,0,请登录,请先添加投注内容,下注成功
succ30,lee123456789,lee123,,,,30,,特双,,,0,请登录,请先添加投注内容,下注成功
succ31,lee123456789,lee123,,,,31,,特双,,,0,请登录,请先添加投注内容,下注成功
succ32,lee123456789,lee123,,,,32,,特双,,,0,请登录,请先添加投注内容,下注成功
succ33,lee123456789,lee123,,,,33,,特双,,,0,请登录,请先添加投注内容,下注成功
succ34,lee123456789,lee123,,,,34,,特双,,,0,请登录,请先添加投注内容,下注成功
succ35,lee123456789,lee123,,,,35,,特双,,,0,请登录,请先添加投注内容,下注成功
succ36,lee123456789,lee123,,,,36,,特双,,,0,请登录,请先添加投注内容,下注成功
succ37,lee123456789,lee123,,,,37,,特双,,,0,请登录,请先添加投注内容,下注成功
succ38,lee123456789,lee123,,,,38,,特双,,,0,请登录,请先添加投注内容,下注成功
succ39,lee123456789,lee123,,,,39,,特双,,,0,请登录,请先添加投注内容,下注成功
succ40,lee123456789,lee123,,,,40,,特双,,,0,请登录,请先添加投注内容,下注成功
succ41,lee123456789,lee123,,,,41,,特双,,,0,请登录,请先添加投注内容,下注成功
succ42,lee123456789,lee123,,,,42,,特双,,,0,请登录,请先添加投注内容,下注成功
succ43,lee123456789,lee123,,,,43,,特双,,,0,请登录,请先添加投注内容,下注成功
succ44,lee123456789,lee123,,,,44,,特双,,,0,请登录,请先添加投注内容,下注成功
succ45,lee123456789,lee123,,,,45,,特双,,,0,请登录,请先添加投注内容,下注成功
succ46,lee123456789,lee123,,,,46,,特双,,,0,请登录,请先添加投注内容,下注成功
succ47,lee123456789,lee123,,,,47,,特双,,,0,请登录,请先添加投注内容,下注成功
succ48,lee123456789,lee123,,,,48,,特双,,,0,请登录,请先添加投注内容,下注成功
succ49,lee123456789,lee123,,,,49,,特双,,,0,请登录,请先添加投注内容,下注成功
succ50,lee123456789,lee123,,,,50,,特双,,,0,请登录,请先添加投注内容,下注成功
succ51,lee123456789,lee123,,,,51,,特双,,,0,请登录,请先添加投注内容,下注成功
succ52,lee123456789,lee123,,,,52,,特双,,,0,请登录,请先添加投注内容,下注成功
succ53,lee123456789,lee123,,,,53,,特双,,,0,请登录,请先添加投注内容,下注成功
succ54,lee123456789,lee123,,,,54,,特双,,,0,请登录,请先添加投注内容,下注成功
succ55,lee123456789,lee123,,,,55,,特双,,,0,请登录,请先添加投注内容,下注成功
succ56,lee123456789,lee123,,,,56,,特双,,,0,请登录,请先添加投注内容,下注成功
succ57,lee123456789,lee123,,,,57,,特双,,,0,请登录,请先添加投注内容,下注成功
succ58,lee123456789,lee123,,,,58,,特双,,,0,请登录,请先添加投注内容,下注成功
succ59,lee123456789,lee123,,,,59,,特双,,,0,请登录,请先添加投注内容,下注成功
succ60,lee123456789,lee123,,,,60,,特双,,,0,请登录,请先添加投注内容,下注成功
succ61,lee123456789,lee123,,,,61,,特双,,,0,请登录,请先添加投注内容,下注成功
succ62,lee123456789,lee123,,,,62,,特双,,,0,请登录,请先添加投注内容,下注成功
succ63,lee123456789,lee123,,,,63,,特双,,,0,请登录,请先添加投注内容,下注成功
succ64,lee123456789,lee123,,,,64,,特双,,,0,请登录,请先添加投注内容,下注成功
